id,gender,birthday,grade,region,last_visited
1,М,02.11.2007,9.0,Город Санкт-Петербург,23.08.2023 03:04:14
2,Ж,29.01.2009,8.0,Город Москва,07.09.2023 09:21:35
3,М,09.05.2007,,Город Санкт-Петербург,23.08.2023 18:32:18
4,Ж,27.09.2007,9.0,Город Москва,18.08.2023 07:34:11
5,Ж,04.08.2007,,Город Москва,02.09.2023 18:31:30
6,Ж,08.11.2009,7.0,Город Москва,03.09.2023 03:14:22
7,М,01.05.2007,10.0,Краснодарский край,22.08.2023 20:00:45
8,М,27.11.2009,7.0,Город Москва,21.08.2023 19:39:19
9,Ж,04.06.2009,8.0,Нижегородская область,05.09.2023 02:00:24
10,Ж,28.09.2009,7.0,Город Москва,10.09.2023 04:36:52
11,М,10.04.2007,10.0,Новосибирская область,08.09.2023 02:15:00
12,М,12.03.2010,7.0,Город Санкт-Петербург,04.09.2023 06:31:39
13,Ж,03.05.2007,10.0,Краснодарский край,11.09.2023 22:44:16
14,М,28.01.2007,10.0,Краснодарский край,05.09.2023 15:56:28
15,М,12.06.2007,10.0,Краснодарский край,31.08.2023 14:24:41
16,М,08.11.2007,9.0,Город Москва,20.08.2023 07:59:09
17,М,05.12.2008,8.0,Краснодарский край,07.09.2023 03:37:51
18,М,10.04.2007,10.0,Город Санкт-Петербург,16.08.2023 08:21:25
19,М,15.02.2010,7.0,Город Санкт-Петербург,05.09.2023 03:41:13
20,М,13.09.2007,9.0,Город Москва,12.09.2023 17:12:48
21,М,02.08.2008,,Город Москва,14.08.2023 18:14:55
22,Ж,19.05.2007,10.0,Город Москва,01.09.2023 05:22:16
23,М,29.11.2008,,Краснодарский край,07.09.2023 22:09:24
24,М,03.01.2009,8.0,Город Москва,23.08.2023 08:07:46
25,Ж,21.10.2006,10.0,Город Санкт-Петербург,28.08.2023 16:19:28
26,М,12.03.2010,7.0,Город Москва,29.08.2023 14:19:11
27,Ж,12.02.2009,8.0,Город Москва,25.08.2023 05:53:13
28,М,20.01.2010,7.0,Город Москва,02.09.2023 21:42:59
29,Ж,06.12.2006,10.0,Город Санкт-Петербург,10.09.2023 23:57:24
30,Ж,16.06.2010,7.0,Город Санкт-Петербург,23.08.2023 13:54:26
31,М,21.03.2010,7.0,Город Санкт-Петербург,06.09.2023 15:13:28
32,Ж,08.04.2008,9.0,Город Москва,30.08.2023 03:58:47
33,М,13.12.2009,,Город Москва,21.08.2023 07:08:09
34,М,11.04.2009,8.0,Город Москва,25.08.2023 17:43:47
35,М,29.02.2008,9.0,Город Москва,26.08.2023 13:55:02
36,Ж,20.02.2009,8.0,Город Санкт-Петербург,26.08.2023 22:21:25
37,Ж,04.10.2008,,Нижегородская область,10.09.2023 02:28:13
38,Ж,08.10.2006,10.0,Город Москва,11.09.2023 18:20:29
39,Ж,12.02.2008,9.0,Город Москва,06.09.2023 00:52:41
40,М,11.11.2006,10.0,Нижегородская область,07.09.2023 05:09:28
41,М,17.03.2009,8.0,Новосибирская область,21.08.2023 03:44:59
42,Ж,13.04.2008,9.0,Город Санкт-Петербург,16.08.2023 16:25:45
43,М,03.11.2008,8.0,Город Москва,26.08.2023 18:40:07
44,Ж,08.10.2006,10.0,Краснодарский край,17.08.2023 09:08:57
45,Ж,26.05.2010,7.0,Город Санкт-Петербург,18.08.2023 02:34:02
46,М,18.07.2010,7.0,Нижегородская область,26.08.2023 17:42:10
47,Ж,27.12.2007,9.0,Город Москва,11.09.2023 10:01:27
48,Ж,03.08.2007,,Новосибирская область,09.09.2023 06:29:41
